image_path,correct_answer,caption_0,caption_1,caption_2,caption_3,correct_answer_template
data/voc2007/VOCdevkit/VOC2007/JPEGImages/004070.jpg,0,There is no person in this image.,"This image shows a person, but no motorbike is included.",A person is present in this image.,This image does not feature a motorbike.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/001089.jpg,0,"This image features a bicycle, but no person is in sight.",This image includes person but not bicycle,This image depicts a person.,A bicycle is not present in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/009657.jpg,0,A car is not present in this image.,"This image shows a car, with no person in sight.",A car is featured in this image.,No person is in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/005197.jpg,0,This image shows a person with a motorbike.,"This image shows a chair, but no person is in sight.",This image depicts a chair.,This image contains no person.,positive
data/voc2007/VOCdevkit/VOC2007/JPEGImages/006082.jpg,0,This image does not include a person,"This image shows a person, with no bus in sight.",(Your Turn!),No bus is present in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/005251.jpg,0,This image features a person but no chair.,"This image features a chair, but there is no person.",This image features a chair,No person is in this image,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/008804.jpg,0,A horse and a person are included in this image.,"This image features a car, but lacks a horse.",This image shows a car.,There is no horse included in this image,positive
data/voc2007/VOCdevkit/VOC2007/JPEGImages/008476.jpg,0,"A horse is present in this image, with no person in sight.","A person is included in this image, but a horse is not.",This image shows a person.,There is no horse in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/007504.jpg,0,There is no dining table in this image.,"A dining table is present in this image, but there is no bottle.",This image shows a dining table.,A bottle is not present in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/006432.jpg,0,"This image shows a person, but no chair is visible.","This image depicts a chair, but there is no person.",This image shows a chair,There is no person in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/007272.jpg,0,There is no person in this image.,"This image features a person, with no potted plant in sight.",This image features a person.,There is no potted plant in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/005280.jpg,0,"This image depicts a train, with no car in sight.","This image features a car, but there is no train.",This image contains a car.,There is no train in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/000279.jpg,0,A chair is not present in this image.,"This image features a chair, but there is no person.",This image shows a chair.,No person is present in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/005955.jpg,0,No person is present in this image.,"This image features a person, with no dog in sight.",This image shows a person.,There is no dog in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/007613.jpg,0,This image features a car but does not include a bus.,"A bus is included, while a car is absent.",This image depicts a bus.,No cars are present in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/006053.jpg,0,"A bird is present in this image, with no person in sight.","A person is present in this image, but there is no bird.",This image shows a person.,There is no bird in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/000618.jpg,0,"This image includes an aeroplane, but there is no person present.","This image shows a person, without an aeroplane.",A person is included in this image.,There is no aeroplane in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/001058.jpg,0,There is no bus in this image.,"A bus is present in this image, but there's no car.",This image features a bus.,There is no car included in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/008761.jpg,0,This image features both a car and a motorbike.,"This image features a person, but there is no car.",This image features a person.,A car is not shown in this image.,positive
data/voc2007/VOCdevkit/VOC2007/JPEGImages/004598.jpg,0,"This image features a person, but it does not include a chair.","A chair is present in this image, but there is no person.","""This image includes chair"" -> ""This image features a chair""  and ""This image shows a chair"" are both correct.",There is no person in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/001913.jpg,0,No person is visible in this image.,"This image features a person, with no car in sight.",This image depicts a person.,A car is not in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/003234.jpg,0,A car and a person are included in this image.,"This image features a horse, with no car in sight.",This image depicts a horse.,No car is present in this image.,positive
data/voc2007/VOCdevkit/VOC2007/JPEGImages/002806.jpg,0,This image features a person but no car.,"A car is present in this image, but there is no person.",This image features a car,No person is shown in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/002474.jpg,0,"This image features a boat, but does not include a car.",This image shows a car but no boat.,This image features a car,Noticeably absent from this image is a boat.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/001100.jpg,0,No person is present in this image.,"This image features a person, but there is no cow.",This image features a person.,A cow is not shown in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/003123.jpg,0,This image features both a chair and a dining table.,This image contains a sofa but no chair.,A sofa is included in this image.,There is no chair in this image.,positive
data/voc2007/VOCdevkit/VOC2007/JPEGImages/004128.jpg,0,No car is present in this image.,"This image features a car, but there's no chair.",A car is included in this image.,A chair is not present in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/003930.jpg,0,No person is present in this image.,"This image shows a person, with no train in sight.",A person is featured in this image.,No train is visible in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/003542.jpg,0,There is no chair in this image.,"A chair is present in this image, but there is no person.",This image depicts a chair.,No person is visible in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/005309.jpg,0,This image features a cat but has no tv monitor.,"This image shows a tvmonitor, but no cat.",This image contains a TV monitor.,There is no cat in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/000457.jpg,0,There is no car in this image.,"A car is present in this image, but there is no person.",A car is included in this image.,There is no person in this image,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/000825.jpg,0,This image features a bicycle and a bottle.,"This image includes a dining table, with no bicycle in sight.",A dining table is present in this image.,A bicycle is not included in this image.,positive
