,image_path,correct_answer,caption_0,caption_1,caption_2,caption_3,correct_answer_template
0,data/voc2007/VOCdevkit/VOC2007/JPEGImages/004070.jpg,0,"('', 'person')","('person', 'motorbike')","('person', '')","('', 'motorbike')",negative
1,data/voc2007/VOCdevkit/VOC2007/JPEGImages/001089.jpg,0,"('bicycle', 'person')","('person', 'bicycle')","('person', '')","('', 'bicycle')",hybrid
2,data/voc2007/VOCdevkit/VOC2007/JPEGImages/009657.jpg,0,"('', 'car')","('car', 'person')","('car', '')","('', 'person')",negative
3,data/voc2007/VOCdevkit/VOC2007/JPEGImages/005197.jpg,0,"('person and motorbike', '')","('chair', 'person')","('chair', '')","('', 'person')",positive
4,data/voc2007/VOCdevkit/VOC2007/JPEGImages/006082.jpg,0,"('', 'person')","('person', 'bus')","('person', '')","('', 'bus')",negative
5,data/voc2007/VOCdevkit/VOC2007/JPEGImages/005251.jpg,0,"('person', 'chair')","('chair', 'person')","('chair', '')","('', 'person')",hybrid
6,data/voc2007/VOCdevkit/VOC2007/JPEGImages/008804.jpg,0,"('horse and person', '')","('car', 'horse')","('car', '')","('', 'horse')",positive
7,data/voc2007/VOCdevkit/VOC2007/JPEGImages/008476.jpg,0,"('horse', 'person')","('person', 'horse')","('person', '')","('', 'horse')",hybrid
8,data/voc2007/VOCdevkit/VOC2007/JPEGImages/007504.jpg,0,"('', 'diningtable')","('diningtable', 'bottle')","('diningtable', '')","('', 'bottle')",negative
9,data/voc2007/VOCdevkit/VOC2007/JPEGImages/006891.jpg,0,"('', 'car')","('car', 'person')","('car', '')","('', 'person')",negative
10,data/voc2007/VOCdevkit/VOC2007/JPEGImages/006432.jpg,0,"('person', 'chair')","('chair', 'person')","('chair', '')","('', 'person')",hybrid
11,data/voc2007/VOCdevkit/VOC2007/JPEGImages/007272.jpg,0,"('', 'person')","('person', 'pottedplant')","('person', '')","('', 'pottedplant')",negative
12,data/voc2007/VOCdevkit/VOC2007/JPEGImages/005280.jpg,0,"('train', 'car')","('car', 'train')","('car', '')","('', 'train')",hybrid
13,data/voc2007/VOCdevkit/VOC2007/JPEGImages/000279.jpg,0,"('', 'chair')","('chair', 'person')","('chair', '')","('', 'person')",negative
14,data/voc2007/VOCdevkit/VOC2007/JPEGImages/005955.jpg,0,"('', 'person')","('person', 'dog')","('person', '')","('', 'dog')",negative
15,data/voc2007/VOCdevkit/VOC2007/JPEGImages/007613.jpg,0,"('car', 'bus')","('bus', 'car')","('bus', '')","('', 'car')",hybrid
16,data/voc2007/VOCdevkit/VOC2007/JPEGImages/006053.jpg,0,"('bird', 'person')","('person', 'bird')","('person', '')","('', 'bird')",hybrid
17,data/voc2007/VOCdevkit/VOC2007/JPEGImages/000618.jpg,0,"('aeroplane', 'person')","('person', 'aeroplane')","('person', '')","('', 'aeroplane')",hybrid
18,data/voc2007/VOCdevkit/VOC2007/JPEGImages/001058.jpg,0,"('', 'bus')","('bus', 'car')","('bus', '')","('', 'car')",negative
19,data/voc2007/VOCdevkit/VOC2007/JPEGImages/008761.jpg,0,"('car and motorbike', '')","('person', 'car')","('person', '')","('', 'car')",positive
20,data/voc2007/VOCdevkit/VOC2007/JPEGImages/004598.jpg,0,"('person', 'chair')","('chair', 'person')","('chair', '')","('', 'person')",hybrid
21,data/voc2007/VOCdevkit/VOC2007/JPEGImages/001913.jpg,0,"('', 'person')","('person', 'car')","('person', '')","('', 'car')",negative
22,data/voc2007/VOCdevkit/VOC2007/JPEGImages/003234.jpg,0,"('car and person', '')","('horse', 'car')","('horse', '')","('', 'car')",positive
23,data/voc2007/VOCdevkit/VOC2007/JPEGImages/002806.jpg,0,"('person', 'car')","('car', 'person')","('car', '')","('', 'person')",hybrid
24,data/voc2007/VOCdevkit/VOC2007/JPEGImages/002474.jpg,0,"('boat', 'car')","('car', 'boat')","('car', '')","('', 'boat')",hybrid
25,data/voc2007/VOCdevkit/VOC2007/JPEGImages/001100.jpg,0,"('', 'person')","('person', 'cow')","('person', '')","('', 'cow')",negative
26,data/voc2007/VOCdevkit/VOC2007/JPEGImages/003123.jpg,0,"('chair and diningtable', '')","('sofa', 'chair')","('sofa', '')","('', 'chair')",positive
27,data/voc2007/VOCdevkit/VOC2007/JPEGImages/004128.jpg,0,"('', 'car')","('car', 'chair')","('car', '')","('', 'chair')",negative
28,data/voc2007/VOCdevkit/VOC2007/JPEGImages/003930.jpg,0,"('', 'person')","('person', 'train')","('person', '')","('', 'train')",negative
29,data/voc2007/VOCdevkit/VOC2007/JPEGImages/003542.jpg,0,"('', 'chair')","('chair', 'person')","('chair', '')","('', 'person')",negative
30,data/voc2007/VOCdevkit/VOC2007/JPEGImages/005309.jpg,0,"('cat', 'tvmonitor')","('tvmonitor', 'cat')","('tvmonitor', '')","('', 'cat')",hybrid
31,data/voc2007/VOCdevkit/VOC2007/JPEGImages/000457.jpg,0,"('', 'car')","('car', 'person')","('car', '')","('', 'person')",negative
32,data/voc2007/VOCdevkit/VOC2007/JPEGImages/000825.jpg,0,"('bicycle and bottle', '')","('diningtable', 'bicycle')","('diningtable', '')","('', 'bicycle')",positive
33,data/voc2007/VOCdevkit/VOC2007/JPEGImages/001217.jpg,0,"('sofa', 'chair')","('chair', 'sofa')","('chair', '')","('', 'sofa')",hybrid
34,data/voc2007/VOCdevkit/VOC2007/JPEGImages/008289.jpg,0,"('car', 'bus')","('bus', 'car')","('bus', '')","('', 'car')",hybrid
35,data/voc2007/VOCdevkit/VOC2007/JPEGImages/007119.jpg,0,"('person', 'car')","('car', 'person')","('car', '')","('', 'person')",hybrid
36,data/voc2007/VOCdevkit/VOC2007/JPEGImages/002581.jpg,0,"('chair', 'diningtable')","('diningtable', 'chair')","('diningtable', '')","('', 'chair')",hybrid
37,data/voc2007/VOCdevkit/VOC2007/JPEGImages/000901.jpg,0,"('person', 'chair')","('chair', 'person')","('chair', '')","('', 'person')",hybrid
38,data/voc2007/VOCdevkit/VOC2007/JPEGImages/000573.jpg,0,"('chair', 'person')","('person', 'chair')","('person', '')","('', 'chair')",hybrid
39,data/voc2007/VOCdevkit/VOC2007/JPEGImages/000205.jpg,0,"('person and sofa', '')","('chair', 'person')","('chair', '')","('', 'person')",positive
40,data/voc2007/VOCdevkit/VOC2007/JPEGImages/005929.jpg,0,"('', 'person')","('person', 'car')","('person', '')","('', 'car')",negative
41,data/voc2007/VOCdevkit/VOC2007/JPEGImages/003310.jpg,0,"('dog', 'person')","('person', 'dog')","('person', '')","('', 'dog')",hybrid
42,data/voc2007/VOCdevkit/VOC2007/JPEGImages/002550.jpg,0,"('person', 'car')","('car', 'person')","('car', '')","('', 'person')",hybrid
43,data/voc2007/VOCdevkit/VOC2007/JPEGImages/002922.jpg,0,"('bird', 'person')","('person', 'bird')","('person', '')","('', 'bird')",hybrid
44,data/voc2007/VOCdevkit/VOC2007/JPEGImages/000664.jpg,0,"('', 'chair')","('chair', 'person')","('chair', '')","('', 'person')",negative
45,data/voc2007/VOCdevkit/VOC2007/JPEGImages/001783.jpg,0,"('aeroplane', 'car')","('car', 'aeroplane')","('car', '')","('', 'aeroplane')",hybrid
46,data/voc2007/VOCdevkit/VOC2007/JPEGImages/002131.jpg,0,"('dog', 'person')","('person', 'dog')","('person', '')","('', 'dog')",hybrid
47,data/voc2007/VOCdevkit/VOC2007/JPEGImages/003771.jpg,0,"('person', 'car')","('car', 'person')","('car', '')","('', 'person')",hybrid
48,data/voc2007/VOCdevkit/VOC2007/JPEGImages/006788.jpg,0,"('person', 'chair')","('chair', 'person')","('chair', '')","('', 'person')",hybrid
49,data/voc2007/VOCdevkit/VOC2007/JPEGImages/006516.jpg,0,"('', 'chair')","('chair', 'sofa')","('chair', '')","('', 'sofa')",negative
50,data/voc2007/VOCdevkit/VOC2007/JPEGImages/006964.jpg,0,"('', 'car')","('car', 'person')","('car', '')","('', 'person')",negative
51,data/voc2007/VOCdevkit/VOC2007/JPEGImages/003248.jpg,0,"('', 'person')","('person', 'tvmonitor')","('person', '')","('', 'tvmonitor')",negative
