captions
"[['A man in a kitchen making pizzas.', 'A man in apron standing in front of oven with pans and bakeware.', 'A baker is working in a kitchen rolling out dough.', 'A person standing by a stove in a kitchen.', 'People at a table making pies and a person standing by a wall with pots and pans.'], ['A photo of a chair', 'A photo of a chair', 'A photo of a fork', 'A photo of a fork', 'A photo of a fork']]"
"[['A dining table near a kitchen with a bowl of fruit on it.', 'A small kitchen with appliances and a table.', 'A clean and empty kitchen is shown.', 'A pristine white kitchen and dining area.', 'A kitchen scene with a bowl of fruit on the table.'], ['A photo of a cup', 'A photo of a cup', 'A photo of a person', 'A photo of a bottle', 'A photo of a bottle']]"
"[['A person with a shopping cart on a city street.', 'City dwellers pass by a homeless man begging for cash.', 'People walking on a city street past a homeless man begging.', 'A homeless man holding a cup and standing next to a shopping cart on a street.', 'People walking by a homeless person standing on the street.'], ['A photo of a car', 'A photo of a dining table', 'A photo of a chair', 'A photo of a car', 'A photo of a car']]"
"[['A person skateboarding and bike at a skate park.', 'A man on a skateboard at a skate park doing a trick.', 'A skateboarder jumps into the air while doing a trick on his board.', 'Athletes are doing tricks on a BMX bicycle and a skateboard.', 'A man has fallen off his skateboard in a skate park.'], ['A photo of a car', 'A photo of a handbag', 'A photo of a car', 'A photo of a chair', 'A photo of a chair']]"
"[['A blue bike is parked on the sidewalk.', 'A bicycle is chained to a fixture on a city street.', 'A blue bicycle sitting on a sidewalk near a street.', 'A bicycle is locked to a post.', 'A bike is parked by the street.'], ['A photo of a bus', 'A photo of a person', 'A photo of a handbag', 'A photo of a handbag', 'A photo of a handbag']]"
"[['A bathroom with a broken wall in the shower area.', 'A bathroom appears clean, but the shower stall is missing tile.', 'A bathroom that is in need of renovation.', 'A basement bathroom with a shower, toilet and sink.', 'A large white restroom with a shabby looking shower.'], ['A photo of a cup', 'A photo of a person', 'A photo of a bottle', 'A photo of a person', 'A photo of a cup']]"
"[['a couple of buckets in a white room', 'A red and green bucket in a bathroom.', 'A shower room with two buckets, a toilet paper holder and soap.', 'A standing toilet in a bathroom next to a window.', ""A janitor's closet with buckets on the floor.""], ['A photo of a sink', 'A photo of a sink and toilets', 'A photo of a sink', 'A photo of a sink', 'A photo of a bottle']]"
"[['The motorcycle is put on display for people to see.', 'A brand new very shiny motorcycle on display.', 'A motorcycle is parked inside of a building.', 'A brand new motorcycle is on display at the show.', 'The front end of a red motorcycle on display.'], ['A photo of a chair', 'A photo of a handbag', 'A photo of a car', 'A photo of a handbag', 'A photo of a car']]"
"[['A row of white toilets sitting on a dirt ground.', 'A row of dirty, white toilets outside.', 'A row of used and broken toilets in a field.', 'A row of toilets with broken seat tops on the ground.', 'An assortment of broken toilets sitting on a lawn.'], ['A photo of a sink', 'A photo of a sink', 'A photo of a person', 'A photo of a bottle', 'A photo of a bottle']]"
"[['A small toilet is closed in a cramped space.', 'A tan toilet and sink combination in a small room.', 'An advanced toilet with a sink and control panel.', 'a close up of a toilet with a fountain', 'An off white toilet with a faucet and controls.'], ['A photo of a bottle', 'A photo of a cup', 'A photo of a person', 'A photo of a bottle', 'A photo of a person']]"
