filepath,captions
data/synthetic_visual_negation/data/positive/228675_img.png,"[""A desert with an armadillo next to a cactus.""]"
data/synthetic_visual_negation/data/positive/68331_img.png,"[""A terrarium with a European green lizard beside a chameleon.""]"
data/synthetic_visual_negation/data/positive/30103_img.png,"[""A marathon runner with a water bottle beside a backpack.""]"
data/synthetic_visual_negation/data/positive/2062_img.png,"[""A photo of a tool kit placed next to a car.""]"
data/synthetic_visual_negation/data/positive/29384_img.png,"[""A baseball field with a baseball player next to second base.""]"
data/synthetic_visual_negation/data/positive/223980_img.png,"[""A jungle habitat with an eastern lowland gorilla next to a cheetah.""]"
data/synthetic_visual_negation/data/positive/210726_img.png,"[""A doctor's office with a syringe beside a doctor.""]"
data/synthetic_visual_negation/data/positive/199883_img.png,"[""A ranch with an Australian Kelpie next to a horse.""]"
data/synthetic_visual_negation/data/positive/54030_img.png,"[""A breakfast plate with ham and eggs beside toast.""]"
data/synthetic_visual_negation/data/positive/4587_img.png,"[""A bathroom with a luffa beside a soap.""]"
data/synthetic_visual_negation/data/positive/216155_img.png,"[""A dog park with a Flat-Coated Retriever next to a Poodle.""]"
data/synthetic_visual_negation/data/positive/146756_img.png,"[""An airport with a CRJ-700 aircraft next to a terminal building.""]"
data/synthetic_visual_negation/data/positive/99275_img.png,"[""A lake scene with a red-breasted merganser beside a grebe.""]"
data/synthetic_visual_negation/data/positive/156549_img.png,"[""A parking lot with a Daewoo Nubira Wagon 2002 car beside a motorcycle.""]"
data/synthetic_visual_negation/data/positive/220973_img.png,"[""A kitchen scene with eggnog beside a cookie.""]"
data/synthetic_visual_negation/data/positive/166418_img.png,"[""An office desk with a laptop next to a coffee mug.""]"
data/synthetic_visual_negation/data/positive/198469_img.png,"[""A green backyard with a Shetland Sheepdog next to a wheelbarrow.""]"
data/synthetic_visual_negation/data/positive/104715_img.png,"[""A subway station with a turnstile beside a sign.""]"
data/synthetic_visual_negation/data/positive/118155_img.png,"[""A dog show with Affenpinscher beside a leash.""]"
data/synthetic_visual_negation/data/positive/97558_img.png,"[""An arid desert landscape with a vulture next to a cactus.""]"
data/synthetic_visual_negation/data/positive/82704_img.png,"[""A sailor's uniform with a knot next to a sailor's cap.""]"
data/synthetic_visual_negation/data/positive/37749_img.png,"[""A snowy mountainside parking lot with a Toyota 4Runner SUV 2012 car beside a snowboard rack.""]"
data/synthetic_visual_negation/data/positive/47289_img.png,"[""A black and white photo of a Jaguar XK XKR 2012 car next to a Corvette.""]"
data/synthetic_visual_negation/data/positive/32569_img.png,"[""A home environment where a Lakeland Terrier is alongside a cat.""]"
data/synthetic_visual_negation/data/positive/234886_img.png,"[""A dog park with a Bedlington Terrier beside a Westie.""]"
data/synthetic_visual_negation/data/positive/219418_img.png,"[""A kitchen sink with a dishcloth beside a dish.""]"
data/synthetic_visual_negation/data/positive/74335_img.png,"[""A fenced backyard with a Labrador Retriever beside a tennis ball.""]"
data/synthetic_visual_negation/data/positive/126725_img.png,"[""A sunny living room scene with a Cairn Terrier next to a toddler.""]"
data/synthetic_visual_negation/data/positive/243536_img.png,"[""A couch with a remote control beside a pillow.""]"
data/synthetic_visual_negation/data/positive/143194_img.png,"[""A kitchen counter with a fly next to a knife.""]"
data/synthetic_visual_negation/data/positive/244019_img.png,"[""A rainforest scene with a spider monkey beside a toucan.""]"
data/synthetic_visual_negation/data/positive/13184_img.png,"[""A parking lot with a BMW X5 SUV 2007 car next to an Audi Q7 2008 car.""]"
data/synthetic_visual_negation/data/positive/210783_img.png,"[""A tech office with a CRT monitor next to a laptop.""]"
data/synthetic_visual_negation/data/positive/216009_img.png,"[""A large military hangar with a stealth bomber next to a drone.""]"
data/synthetic_visual_negation/data/positive/26635_img.png,"[""A family room with a Weimaraner next to a toy.""]"
data/synthetic_visual_negation/data/positive/30369_img.png,"[""A kitchen counter with sauce next to a spatula.""]"
data/synthetic_visual_negation/data/positive/1953_img.png,"[""A living room with an acoustic guitar next to a chair.""]"
data/synthetic_visual_negation/data/positive/189403_img.png,"[""A toy store shelves with a teddy bear beside a doll.""]"
data/synthetic_visual_negation/data/positive/231904_img.png,"[""A savannah landscape with an African hunting dog beside a gazelle.""]"
data/synthetic_visual_negation/data/positive/236351_img.png,"[""A tropical garden with a hibiscus next to a palm tree.""]"
data/synthetic_visual_negation/data/positive/198871_img.png,"[""A football field with a football helmet next to a banner.""]"
data/synthetic_visual_negation/data/positive/54265_img.png,"[""A plate with ceviche next to a lime.""]"
data/synthetic_visual_negation/data/positive/249200_img.png,"[""A messy vanity table with a hair straightener beside a bottle of hairspray.""]"
data/synthetic_visual_negation/data/positive/195573_img.png,"[""A tailor's shop with a patch pocket beside a button.""]"
data/synthetic_visual_negation/data/positive/127590_img.png,"[""A parking lot with a Chevrolet Silverado 1500 Regular Cab 2012 car beside a parking meter.""]"
data/synthetic_visual_negation/data/positive/33418_img.png,"[""A farm with a carthorse beside a windmill.""]"
