correct_answer,caption_0,caption_1,caption_2,caption_3,correct_answer_template,image_path
0,Dancing is accompanied by Pokemon in this video.,"Hiking is a main activity, with no pokemon in sight.",Get ready for a hiking adventure here,This video is dance-free.,positive,video9838.mp4
0,Humans and technology share the spotlight in this video.,"Nature takes center stage, while technology is absent.",Nature is on full display in this video.,The content of this video is people-free.,positive,video7233.mp4
0,Smiling is not present.,This video shows smiling but lacks any talking.,Smiling is showcased throughout this video.,There is no woman in this video.,negative,video8680.mp4
0,A cabinet and animation are both showcased.,"A chair is visible, but there is no animation.",A chair is present in this video.,No cabinet is to be seen.,positive,video7768.mp4
0,A person is shown working with crafts.,"Instrument is featured; however, crafts are not present.",This video showcases an instrument,No person is visible.,positive,video7020.mp4
0,Solving a puzzle is not shown in this video,"""This video includes a puzzle, but not a game"".",A puzzle is the central focus.,Racing is noticeably absent.,negative,video7506.mp4
0,A library is not present in this video.,"Library is displayed, while runway is not included.",This video showcases a library,Models are noticeably absent from this video,negative,video7141.mp4
0,Swimming is not included in the video,"Catch swimming in action, but don't expect any music.",Swimming takes center stage in this video.,A baseball player is nowhere to be seen.,negative,video7150.mp4
0,Karate and kicking are highlighted in this video.,"Boxing takes center stage, with no kicking in sight.",Boxing is featured.,Karate is not part of the content.,positive,video9685.mp4
0,Rock music isn't part of this video.,"Rock is present, but microphone is absent here.",Rock is on display in this video,There is no man in the video.,negative,video7575.mp4
0,Football is absent from this video.,"Football is featured, though no playing is shown.",Football is the star of this video.,Minecraft is notably absent from this content.,negative,video7366.mp4
0,"A man is featured, but there is no bicycle","While a bicycle is featured, no man is present in this video.",This video shows a bicycle,No car is shown in this video.,hybrid,video7965.mp4
0,"Talking is highlighted, whereas singing is not included.","Singing is featured, whereas talking is not.",Singing is showcased throughout.,A woman is not present.,hybrid,video8494.mp4
0,"This video features video game, but not merely watching one.","Watching is shown, but no video game is included.",The act of watching is showcased,Playing is not part of this video.,hybrid,video7203.mp4
0,The video does not show any women.,"A woman is shown, though not wearing a suit.",A woman is featured.,A man does not appear.,negative,video8908.mp4
0,"Playing dead is featured, while running is not.","Running is featured, but playing dead is not.",Running is featured in this video,No dogs appear in this video.,hybrid,video9034.mp4
0,A family is shown in a kitchen setting,"The video showcases a mountain, but a kitchen is not present.",The video showcases a mountain.,The video does not depict any family.,positive,video9517.mp4
0,A bottle and rolling are both present.,"A chair is shown, but it is not rolling.",A chair is prominently displayed.,The video lacks a bottle.,positive,video9324.mp4
0,"The video captures singing, while skateboarding is noticeably absent.","This video showcases skateboarding, with no singing involved.",This video showcases skateboarding.,No protests are seen in this video.,hybrid,video8416.mp4
0,"Music is a key element, while nature is absent","Nature takes center stage, with no music in the background.",Nature is on full display in this video,This video does not include a band.,hybrid,video8978.mp4
0,No plane is present in this video.,"The video showcases a plane, but no car is visible.",A plane is shown in the video.,There's no focus on engines in this video.,negative,video7820.mp4
0,"Men make an appearance, but women do not.","Women are featured, while men are absent.",Women are prominently featured.,Wrestling is noticeably absent from this video.,hybrid,video8470.mp4
0,No plants are included in this video.,"A plant is visible, but no megaphone is in sight.",Plant is a key element.,Protests are nowhere to be seen in this video.,negative,video9404.mp4
0,Fighting and dragon are featured.,"Gardening is featured, but dragons are nowhere to be seen.",Gardening is highlighted in this video.,Fighting is absent from the video.,positive,video9208.mp4
0,Dancing is absent.,"A car does not make an appearance, but dancing does.",Dancing is showcased,"Instead of singing, this video features something else.",negative,video7236.mp4
0,"-same as it is -> ""This video features dinosaur and handprint"".","A tree is present, but no handprint can be seen.",The video showcases a tree.,There's no dinosaur in sight.,positive,video7355.mp4
0,A car is not featured in the video.,"Cars are featured, but pictures are not.",A car is showcased,Babies are absent from the scene.,negative,video8800.mp4
0,No ice skating is shown in this video.,"Ice skating takes the spotlight, with no court in sight.",Ice skating is shown in this video.,Basketball is not part of this video.,negative,video8668.mp4
0,Drinking does not make an appearance.,"Drinking is shown, but cooking is not.",Drinking is featured.,No food is featured.,negative,video7823.mp4
0,Gardening is not depicted in this content.,"The spotlight is on gardening, with no food in sight",Gardening takes center stage in this video.,Cooking is absent from the video.,negative,video7973.mp4
0,"Basketball is featured, whereas tennis isn't.","Tennis is featured, while basketball is not.",Tennis is the main attraction in this video.,Football is absent from this video,hybrid,video9605.mp4
