Prompts,Affirmative,Negated
a man not wearing a hat,a man,wearing a hat
a woman not wearing a mask,a woman,wearing a mask
a dog not running,a dog,running
a bird not flying,a bird,flying
a not white cat,a cat,a white cat
a not blue sphere,a sphere,a blue sphere
a room with no window,a room,window
a dog without a collar,a dog,a collar
a cat with no whiskers,a cat,whiskers
a child not holding a toy,a child,holding a toy
a park with no benches,a park,benches
a bird not perched on a branch,a bird,perched on a branch
a woman without glasses,a woman,glasses
a table with no chairs around,a table,chairs around
a car not parked in the driveway,a car,parked in the driveway
a beach without any umbrellas,a beach,umbrellas
a man with no hat,a man,a hat
a road not crowded with cars,a road,crowded with cars
a garden with no flowers,a garden,flowers
a person not holding an umbrella,person,holding an umbrella
a lake with no boats,a lake,boats
a house without a roof,a house,a roof
a tree not in bloom,a tree,in bloom
a mountain with no snow,a mountain,snow
a room without furniture,a room,furniture
a dog not barking,a dog,barking
a street with no people,a street,people
a kitchen without any food,a kitchen,food
a cup not filled with coffee,a cup,filled with coffee
a forest with no animals,a forest,animals
a phone not on the table,a phone,on the table
a desk without a computer,a desk,a computer
a man not wearing shoes,a man, wearing shoes
a restaurant with no tables,a restaurant,tables
a city skyline with no skyscrapers,a city skyline,skyscrapers
a field without crops,a field,crops
a woman not smiling,a woman,smiling
a living room with no couch,a living room,couch
a car without wheels,a car,wheels
a stadium with no spectators,a stadium,spectators
a road with no signs,a road,signs
a child not wearing shoes,a child,wearing shoes
a bridge without railings,a bridge,railings
a river with no fish,a river,fish
a sky without clouds,a sky,clouds
a cup with no handle,a cup,handle
a playground with no swings,a playground,swings
a man not wearing a tie,a man,wearing a tie
a building without windows,a building,windows
a book with no cover,a book,cover
a shop with no customers,a shop,customers
a garden without any trees,a garden,trees
a bike not leaning against a wall,a bike,leaning against a wall
a stage with no performers,a stage,performers
a train station with no trains,a train station,trains
a museum without exhibits,a museum,exhibits
a shelf with no books,a shelf with no books,books
a restaurant not serving food,a restaurant,serving food
a person with no backpack,a person,a backpack
a market without any vendors,a market,vendors
a room not filled with light,a room,filled with light
a path with no signs,a path,signs
a school without students,a school,students
a car with no headlights,a car,headlights
a cat without a tail,a cat,a tail
a person not holding a bag,a person,holding a bag
a forest with no leaves,a forest,leaves
a house with no doors,a house,doors
a chair not facing the table,a chair,facing the table
a bird not singing,a bird,singing
a beach without sand,a beach,sand
a dog not playing fetch,a dog,playing fetch
a wall with no decorations,a wall,decorations
a sidewalk with no pedestrians,a sidewalk,pedestrians
a man not reading a book,a man,reading a book
a classroom with no desks,a classroom,desks
a street with no lights,a street,lights
a yard without grass,a yard,grass
a riverbank with no trees,a riverbank,trees
a cat not purring,a cat,purring
a boat with no sails,a boat,sails
a woman not holding a purse,a woman,holding a purse
a stadium with no players,a stadium,players
a sky with no stars,a sky,stars
a store without shelves,a store,shelves
a man not holding a briefcase,a man,holding a briefcase
a city without buildings,a city,buildings
a painting without colors,a painting,colors
a road without any turns,a road,turns
a lawn with no flowers,a lawn,flowers
a dog not fetching a ball,a dog,fetching a ball
a bridge without any lights,a bridge,lights
a car with no passengers,a car,passengers
a garden with no vegetables,a garden,vegetables
a child not drinking milk,a child,drinking milk
a person without a shadow,a person,shadow
a tree with no leaves,a tree,leaves
a bus stop without a bench,a bus stop,a bench
a train without passengers,a train,passengers
a cafe with no tables,a cafe,tables
a photo with no people,a photo,people
a street without any trees,a street,trees
a river not flowing,a river,flowing
a mountain with no trails,a mountain,trails
a path without any footprints,a path,footprints
a field with no animals,a field,animals
a building with no entrance,a building,an entrance
