correct_answer,caption_0,caption_1,caption_2,caption_3,correct_answer_template,image_path
1,"This video features marching, but not pokemon",This video features dancing and pokemon,This video does not feature dancing,This video features marching,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9838.mp4
0,This video features working and technology,This video does not feature working,"This video features arguing, but not technology",This video features arguing,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7233.mp4
0,"This video features talking, but not fire","This video features fire, but not talking",This video does not feature woman,This video features fire,hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8680.mp4
1,This video does not feature animation,"This video features cabinet, but not person","This video features person, but not cabinet",This video features person,hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7768.mp4
3,This video features painting,This video does not feature craft,"This video features painting, but not creating",This video features craft and creating,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7020.mp4
3,"This video features card game, but not racing",This video does not feature video game,This video features card game,This video features video game and racing,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7506.mp4
2,This video does not feature fashion show,"This video features backstage, but not animated models","This video features animated models, but not backstage",This video features backstage,hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7141.mp4
1,This video features soccer,This video does not feature soccer,This video does not feature baseball,"This video features soccer, but not music",negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7150.mp4
3,This video features punches,This video does not feature martial arts,"This video features punches, but not kicks","This video features kicks, but not punches",hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9685.mp4
1,This video does not feature man,"This video features describing rubber, but not singing",This video features singing,"This video features singing, but not describing rubber",hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7575.mp4
0,This video does not feature football,This video features football,"This video features football, but not playing video game",This video does not feature minecraft,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7366.mp4
1,This video features bike,"This video features car, but not bike",This video does not feature driving,"This video features bike, but not car",hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7965.mp4
0,"This video features talking, but not cooking","This video features cooking, but not talking",This video does not feature gossip,This video features cooking,hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8494.mp4
0,"This video features character, but not console",This video does not feature video game,This video features console,"This video features console, but not character",hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7203.mp4
0,"This video features speaking, but not swimming",This video does not feature man in suit,"This video features swimming, but not speaking",This video features swimming,hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8908.mp4
2,"This video features cat, but not owners",This video features cat,This video does not feature cat,This video does not feature dogs playing dead,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9034.mp4
0,"This video features kitchen, but not dancing","This video features dancing, but not kitchen",This video features dancing,This video does not feature talking,hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9517.mp4
1,This video does not feature bottle,This video does not feature laughter,"This video features laughter, but not rolling",This video features laughter,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9324.mp4
0,This video does not feature celebration,This video features celebration,"This video features celebration, but not rally",This video does not feature protest,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8416.mp4
0,This video features rock music and performance,"This video features violence, but not performance",This video features violence,This video does not feature rock music,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8978.mp4
0,This video does not feature cooking,"This video features cooking, but not fixing car",This video does not feature car,This video features cooking,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7820.mp4
0,This video features wrestling and men,"This video features chess, but not men",This video does not feature wrestling,This video features chess,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8470.mp4
3,This video features parade,"This video features parade, but not speaking",This video does not feature protest,This video does not feature parade,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9404.mp4
3,"This video features peace, but not fighting",This video does not feature cartoon,This video features peace,"This video features fighting, but not peace",hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9208.mp4
2,This video does not feature singing,This video features silence,This video does not feature silence,"This video features silence, but not boy",negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7236.mp4
3,This video does not feature dinosaur,"This video features action, but not movie",This video features action,This video features dinosaur and movie,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7355.mp4
0,This video does not feature cooking,"This video features cooking, but not grey s anatomy",This video features cooking,This video does not feature man holding baby,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8800.mp4
0,"This video features court, but not football","This video features football, but not court",This video features football,This video does not feature basketball,hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8668.mp4
2,"This video features mexican, but not cooking",This video does not feature chinese,"This video features cooking, but not mexican",This video features mexican,hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7823.mp4
1,"This video features baking, but not serving",This video features cooking and serving,This video features baking,This video does not feature cooking,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7973.mp4
0,"This video features highlights, but not tennis","This video features tennis, but not highlights",This video does not feature sports,This video features tennis,hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9605.mp4
0,This video does not feature negative emotions,"This video features negative emotions, but not digital letters",This video does not feature mobile phones,This video features negative emotions,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7418.mp4
0,This video features nasa and scrolling text,This video does not feature nasa,This video features image,"This video features image, but not scrolling text",positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7562.mp4
0,This video features crafts and ribbons,"This video features painting, but not ribbons",This video does not feature crafts,This video features painting,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7909.mp4
2,This video features bird,This video does not feature pets,This video does not feature bird,"This video features bird, but not celebrities",negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9828.mp4
1,This video does not feature digging,This video does not feature mud,"This video features mud, but not sand",This video features mud,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9338.mp4
1,"This video features dog, but not talking","This video features talking, but not dog",This video does not feature cow,This video features dog,hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9776.mp4
1,This video does not feature rooftop,"This video features man, but not climbing",This video features climbing,"This video features climbing, but not man",hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7468.mp4
0,This video does not feature tile,This video features tile,"This video features tile, but not installation",This video does not feature flooring,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8250.mp4
2,This video features hitting,"This video features hitting, but not baseball",This video does not feature hitting,This video does not feature spinning,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8049.mp4
1,This video features crying,This video does not feature crying,"This video features crying, but not laughing",This video does not feature baby,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7570.mp4
1,This video features men,This video features runway and models,"This video features men, but not models",This video does not feature runway,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9308.mp4
3,This video features basketball,This video does not feature gun,"This video features basketball, but not movie",This video features gun and movie,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9784.mp4
3,This video does not feature eharmony,"This video features marriage, but not online dating",This video features marriage,"This video features online dating, but not marriage",hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9607.mp4
2,"This video features calm, but not band",This video does not feature music,"This video features band, but not calm",This video features calm,hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7135.mp4
0,"This video features adding toppings, but not baking",This video features baking,This video does not feature making pizza,"This video features baking, but not adding toppings",hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9873.mp4
3,This video does not feature batman,This video features joker,"This video features joker, but not fighting",This video does not feature joker,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8249.mp4
0,This video features intimacy and romance,This video does not feature intimacy,"This video features violence, but not romance",This video features violence,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7682.mp4
0,This video features man and talking,"This video features listening, but not talking",This video features listening,This video does not feature man,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7412.mp4
