captions
"[['A cartoon clip of Pokemon dancing.'], ['A photo of a hiking']]"
"[['Two persons working on a supercomputer while wearing headphones.'], ['A photo of a car']]"
"[['A woman is talking to a man wearing a hood.'], ['A photo of a smile']]"
"[['A 3D animation of a cabinet with plates.'], ['A photo of a chair']]"
"[['A woman making a fondant baby and flower.'], ['A photo of a instrument']]"
"[['A video game car is driving recklessly.'], ['A photo of a puzzle']]"
"[['A blurry cartoon of a fashion runway is playing on a TV screen.'], ['A photo of a library']]"
"[['A picture of the batsman is shown, poised and ready to bat, while the audience watches.'], ['A photo of a swim']]"
"[['People are practicing other marshal arts.'], ['A photo of a box']]"
"[['A man is speaking into a microphone.'], ['A photo of a rock']]"
"[['A person is demoing a game and explaining it.'], ['A photo of a football']]"
"[['A man is driving a car and talking about it.'], ['A photo of a bicycle']]"
"[['A girl is talking about a celebrity.'], ['A photo of a song']]"
"[['A person playing a computer game in silence.'], ['A photo of a person']]"
"[['A white man in a suit talking about logic and law in front of a TV.'], ['A photo of a woman']]"
"[['Several dogs are playing dead in a game.'], ['A photo of a car']]"
"[['A video about overweight people on a news program.'], ['A photo of a mountain']]"
"[['An animated video of a bottle rolling across an empty hallway.'], ['A photo of a chair']]"
"[[""Video footage of various racially motivated protests set to the song everyone's a little bit racist.""], ['A photo of a skateboard']]"
"[['A band playing a hard rock song about diamonds in the sky.'], ['A photo of a diamond']]"
"[[""A man talks about a car's alternator that is not working.""], ['A photo of a plane']]"
"[['A high school wrestling match is taking place.'], ['A photo of a woman']]"
"[['A lady is speaking into a megaphone.'], ['A photo of a plant']]"
"[['A man looking at the foot well under the door jam area of the car.'], ['A photo of a garden']]"
"[['A person is walking around the building.'], ['A photo of a dance']]"
"[['Hand print outlined in the silhouette of a green dinosaur shape for a movie promotion.'], ['A photo of a tree']]"
"[['A group of people talking to each other.'], ['A photo of a car']]"
"[['A man is playing basketball in the video.'], ['A photo of a ice skating']]"
"[['An Asian woman is talking about food.'], ['A photo of a drink']]"
"[['Someone is frying some food in the video.'], ['A photo of a garden']]"
"[['The special song is playing for the game.'], ['A photo of a tennis']]"
"[['An Indian man talks about iPhones and introduces a new type of clothing.'], ['A photo of a written material']]"
"[[""The news is reporting on NASA's Johnson Space Center.""], ['A photo of a microphone']]"
"[['A woman that is holding a ribbon.'], ['A photo of a painting']]"
"[['Assorted people are holding adorable pets.'], ['A photo of a dog']]"
"[['A girl is digging in the sand with enthusiasm.'], ['A photo of a water']]"
"[['Mickey Mouse is talking to someone in the video.'], ['A photo of a dog']]"
"[['A man jumping onto a ledge of a building.'], ['A photo of a beach']]"
"[['This is an instructional home improvement video.'], ['A photo of a paint']]"
"[['A guy is spinning around while holding a bat.'], ['A photo of a football']]"
"[['A very young baby wearing a disguise laughs.'], ['A photo of a cry']]"
"[['The models are walking the catwalk in a video.'], ['A photo of a store']]"
"[['A sygornie weaver pointing a gun and running.'], ['A photo of a dance']]"
"[['A commercial for eharmony on a website.'], ['A photo of a phone']]"
