image_path,correct_answer,caption_0,caption_1,caption_2,caption_3,correct_answer_template
data/synthetic_visual_negation/data/positive/228675_img.png,0,This image features an armadillo alongside a cactus.,"An armadillo is present in this image, with no cactus in sight.","A cactus is present, but there is no armadillo.",Neither an armadillo nor a cactus is included in this image.,positive
data/synthetic_visual_negation/data/negative/228675_img.png,1,An armadillo and a cactus are present in this image,"This image contains an armadillo, and no cactus is present","A cactus is shown in this image, but there is no armadillo.",Neither an armadillo nor a cactus is present in this image.,hybrid
data/synthetic_visual_negation/data/positive/68331_img.png,0,This image features a European green lizard alongside a chameleon.,"This image features a European green lizard, but does not include a chameleon.","This image features a chameleon, but no European green lizard is present.",Neither a European green lizard nor a chameleon can be found in this image.,positive
data/synthetic_visual_negation/data/negative/68331_img.png,1,This image features a European green lizard alongside a chameleon.,"This image features a European green lizard, while a chameleon is noticeably absent.","A chameleon is present in this image, but there is no European green lizard.",There is neither a European green lizard nor a chameleon in this image.,hybrid
data/synthetic_visual_negation/data/positive/30103_img.png,0,A water bottle and a backpack are included in this image.,"A water bottle is visible in this image, whereas a backpack is not.","This image features a backpack, but a water bottle is nowhere to be found.",Neither a water bottle nor a backpack is included in this image.,positive
data/synthetic_visual_negation/data/negative/30103_img.png,1,This image features a water bottle and a backpack.,"This image features a water bottle, but no backpack is included.","In this image, a backpack is present, but there is no water bottle.",Neither a water bottle nor a backpack is present in this image.,hybrid
data/synthetic_visual_negation/data/positive/2062_img.png,0,"This image features a tool kit, along with a car.","This image features a tool kit, with no car in sight.","This image features a car, but there is no tool kit.",Neither a tool kit nor a car is included in this image.,positive
data/synthetic_visual_negation/data/negative/2062_img.png,1,This image features a tool kit and a car.,"This image contains a tool kit, but no car is included.","This image features a car, but lacks a tool kit.",Neither a tool kit nor a car is included in this image.,hybrid
data/synthetic_visual_negation/data/positive/29384_img.png,0,This image features a baseball player with second base nearby.,"This image features a baseball player, but second base is not included.","A second base is included in this image, but there is no baseball player.",Neither a baseball player nor second base is included in this image.,positive
data/synthetic_visual_negation/data/negative/29384_img.png,1,This image shows a baseball player and second base.,"This image includes a baseball player, but second base is not included",This image includes second base but no baseball player,Neither a baseball player nor second base is present in this image.,hybrid
data/synthetic_visual_negation/data/positive/223980_img.png,0,This image features an eastern lowland gorilla alongside a cheetah.,"A western eastern lowland gorilla is in the image, but no cheetah is present.","A cheetah is present in this image, but there's no eastern lowland gorilla.",Neither an eastern lowland gorilla nor a cheetah is included in this image.,positive
data/synthetic_visual_negation/data/negative/223980_img.png,1,This image features both an eastern lowland gorilla and a cheetah.,"This image features an eastern lowland gorilla, with no cheetah in sight.","A cheetah is present in this image, with no eastern lowland gorilla.",You won't find an eastern lowland gorilla or a cheetah in this image.,hybrid
data/synthetic_visual_negation/data/positive/210726_img.png,0,This image features a doctor holding a syringe.,"A syringe is present in this image, while a doctor is noticeably absent.","This image features a doctor, but does not include a syringe.",Neither a syringe nor a doctor is included in this image.,positive
data/synthetic_visual_negation/data/negative/210726_img.png,1,A syringe and a doctor are present in this image.,"A syringe is present, but there is no doctor in this image.","This image features a doctor, but a syringe is not present.",Neither a syringe nor a doctor is present in this image.,hybrid
data/synthetic_visual_negation/data/positive/199883_img.png,0,An Australian Kelpie and a horse are present in this image.,"This image features an Australian Kelpie, with no horse in sight.","This image features a horse, with no Australian Kelpie in sight.",Neither an Australian Kelpie nor a horse is present in this image.,positive
data/synthetic_visual_negation/data/negative/199883_img.png,1,This image shows an Australian Kelpie alongside a horse.,"This image features an Australian Kelpie, but no horse is present.",This image includes a horse but not an Australian Kelpie.,Neither an Australian Kelpie nor a horse is included in this image.,hybrid
data/synthetic_visual_negation/data/positive/54030_img.png,0,"This image features ham, eggs, and toast.","This image features ham and eggs, but toast is noticeably absent.","This image features toast, but excludes ham and eggs.",Neither ham and eggs nor toast are included in this image.,positive
data/synthetic_visual_negation/data/negative/54030_img.png,1,"This image features ham, eggs, and toast.","This image shows ham and eggs, however there is no toast.","This image shows toast, but ham and eggs are not included.",You won't find ham and eggs or toast in this image.,hybrid
data/synthetic_visual_negation/data/positive/4587_img.png,0,A luffa and a soap are included in this image.,"This image shows a luffa, but no soap is included.","This image features soap, but a luffa is not present.",There is neither a luffa nor a soap in this image.,positive
data/synthetic_visual_negation/data/negative/4587_img.png,1,This image features both a luffa and a soap.,"This image shows a luffa, but no soap is included.","This image features a soap, but a luffa is not included.",Neither a luffa nor a soap is present in this image.,hybrid
data/synthetic_visual_negation/data/positive/216155_img.png,0,A Flat-Coated Retriever and a Poodle are included in this image.,"A Flat-Coated Retriever is present in this image, but a Poodle is not.",The image features a Poodle but no Flat-Coated Retriever.,There is neither a Flat-Coated Retriever nor a Poodle in this image.,positive
data/synthetic_visual_negation/data/negative/216155_img.png,1,This image features a Flat-Coated Retriever and a Poodle.,"This image features a Flat-Coated Retriever, with no Poodle in sight.",This image features a Poodle but no Flat-Coated Retriever.,Neither a Flat-Coated Retriever nor a Poodle appears in this image.,hybrid
data/synthetic_visual_negation/data/positive/146756_img.png,0,A CRJ-700 aircraft and a terminal building are featured in this image.,This image features a CRJ-700 aircraft with no terminal building in sight.,"This image features a terminal building, with no CRJ-700 aircraft in sight.",Neither a CRJ-700 aircraft nor a terminal building is present in this image.,positive
data/synthetic_visual_negation/data/negative/146756_img.png,1,A CRJ-700 aircraft and a terminal building are featured in this image.,"This image features a CRJ-700 aircraft, without a terminal building","This image contains a terminal building, but no CRJ-700 aircraft is present.",Neither a CRJ-700 aircraft nor a terminal building is present in this image.,hybrid
